# z     fIaMin      fIa     fIaMax
0.000  0.20000  0.25000  0.30000 
0.010  0.18495  0.23953  0.29308 
0.020  0.17276  0.23069  0.28713 
0.030  0.16268  0.22313  0.28196 
0.040  0.15422  0.21659  0.27743 
0.050  0.14701  0.21087  0.27342 
0.060  0.14079  0.20584  0.26985 
0.070  0.13538  0.20137  0.26666 
0.080  0.13062  0.19738  0.26378 
0.090  0.12640  0.19379  0.26116 
0.100  0.12264  0.19054  0.25879 
0.110  0.11927  0.18759  0.25662 
0.120  0.11622  0.18490  0.25462 
0.130  0.11346  0.18244  0.25279 
0.140  0.11094  0.18017  0.25109 
0.150  0.10864  0.17808  0.24952 
0.160  0.10652  0.17615  0.24807 
0.170  0.10457  0.17435  0.24671 
0.180  0.10277  0.17268  0.24544 
0.190  0.10110  0.17112  0.24425 
0.200  0.09954  0.16967  0.24313 
0.210  0.09809  0.16830  0.24208 
0.220  0.09674  0.16702  0.24110 
0.230  0.09547  0.16581  0.24017 
0.240  0.09428  0.16467  0.23929 
0.250  0.09316  0.16360  0.23846 
0.260  0.09211  0.16259  0.23767 
0.270  0.09111  0.16162  0.23692 
0.280  0.09017  0.16071  0.23621 
0.290  0.08928  0.15985  0.23553 
0.300  0.08844  0.15902  0.23489 
0.310  0.08763  0.15824  0.23427 
0.320  0.08687  0.15749  0.23369 
0.330  0.08615  0.15678  0.23312 
0.340  0.08546  0.15609  0.23259 
0.350  0.08480  0.15544  0.23207 
0.360  0.08417  0.15482  0.23158 
0.370  0.08357  0.15422  0.23111 
0.380  0.08299  0.15365  0.23065 
0.390  0.08244  0.15309  0.23022 
0.400  0.08191  0.15257  0.22980 
0.410  0.08140  0.15206  0.22939 
0.420  0.08091  0.15157  0.22901 
0.430  0.08044  0.15110  0.22863 
0.440  0.07999  0.15064  0.22827 
0.450  0.07956  0.15020  0.22792 
0.460  0.07914  0.14978  0.22758 
0.470  0.07874  0.14938  0.22726 
0.480  0.07835  0.14898  0.22694 
0.490  0.07797  0.14860  0.22664 
0.500  0.07761  0.14823  0.22634 
0.510  0.07726  0.14788  0.22606 
0.520  0.07692  0.14753  0.22578 
0.530  0.07660  0.14720  0.22551 
0.540  0.07628  0.14687  0.22525 
0.550  0.07597  0.14656  0.22500 
0.560  0.07567  0.14626  0.22476 
0.570  0.07538  0.14596  0.22452 
0.580  0.07511  0.14567  0.22429 
0.590  0.07483  0.14539  0.22406 
